"player_id","player_name","games","time","goals","xG","assists","xA","shots","key_passes","yellow_cards","red_cards","position","team_name","npg","npxG","xGChain","xGBuildup","year"
8637,"Burak Yilmaz",28,2057,16,10.406690236181,5,4.22403279319406,66,29,6,0,"F S","Lille",12,7.36630966700613,11.4707066919655,1.59403478354216,2020
8636,"Jonathan Christian David",37,2375,13,10.1939926035702,2,2.65728227701038,55,34,0,0,"F M S","Lille",13,10.1939926035702,15.7202002331614,3.35988415405154,2020
7756,"Yusuf Yazici",32,1069,7,4.71214260533452,4,3.51848907209933,44,36,1,0,"F M S","Lille",7,4.71214260533452,8.42973425984383,2.2704688552767,2020
3749,"Jonathan Bamba",38,3006,6,4.19110656809062,9,4.28625338710845,60,66,2,0,"M S","Lille",6,4.19110656809062,15.6178513560444,9.38019678369164,2020
5661,"Jonathan Ikone",37,2198,4,4.51903097331524,5,2.61897237412632,46,23,0,0,"F M S","Lille",3,3.75893585011363,8.07644746825099,3.03240213729441,2020
6012,"Luiz Araujo",28,1506,4,3.36954628489912,2,2.40297639928758,48,23,5,0,"M S","Lille",4,3.36954628489912,9.01105188578367,4.41352683119476,2020
834,"José Fonte",36,3190,3,1.5962571920827,0,0.423755813390017,28,10,7,0,"D","Lille",3,1.5962571920827,7.08598138485104,6.59770488459617,2020
6601,"Timothy Weah",28,850,3,3.06465217098594,0,1.36542876809835,24,5,1,0,"D F M S","Lille",3,3.06465217098594,4.89970462955534,0.83015775680542,2020
6872,"Mehmet Zeki Çelik",29,2394,3,0.495660414919257,2,2.25031309388578,15,21,8,0,"D S","Lille",3,0.495660414919257,8.78182578086853,6.5052619734779,2020
5228,"Renato Sanches",23,1272,1,2.37879858165979,3,2.08181808982044,21,18,4,0,"M S","Lille",1,2.37879858165979,6.72796915471554,3.96694084070623,2020
5704,"Xeka",33,1172,1,0.604371877387166,2,1.71218426339328,18,18,6,0,"M S","Lille",1,0.604371877387166,5.76093706302345,4.89062543399632,2020
7755,"Domagoj Bradaric",26,1249,1,0.228718811646104,2,0.966109158471227,4,11,4,0,"D S","Lille",1,0.228718811646104,4.99204001203179,4.15580003336072,2020
1784,"Jérémy Pied",6,324,0,0.0253455191850662,0,0.459010813385248,1,5,1,0,"D S","Lille",0,0.0253455191850662,2.2095451168716,2.01509648561478,2020
3223,"Benjamin André",35,2924,0,0.97203310765326,1,1.02471594884992,20,21,10,0,"M","Lille",0,0.97203310765326,7.73916067555547,7.0102699175477,2020
3356,"Adama Soumaoro",3,140,0,0.0629728669300675,0,0,2,0,1,0,"D S","Lille",0,0.0629728669300675,0.86360576748848,0.852697446942329,2020
3737,"Mike Maignan",38,3420,0,0,0,0.106809608638287,0,1,1,0,"GK","Lille",0,0,2.24408798106015,2.13727837242186,2020
6310,"Boubakary Soumare",32,1913,0,0.138233803212643,1,0.622627852484584,8,13,3,0,"M S","Lille",0,0.138233803212643,6.06269251927733,5.58576566539705,2020
7432,"Reinildo",29,2181,0,0.0998817700892687,0,1.48601836711168,4,18,2,1,"D S","Lille",0,0.0998817700892687,5.91286747716367,4.45623862557113,2020
7717,"Isaac Lihadji",15,175,0,0.402353823184967,1,0.617287704721093,4,4,0,0,"M S","Lille",0,0.402353823184967,2.04759175516665,1.12569309212267,2020
7754,"Tiago Djaló",17,864,0,0.0330493310466409,0,0.161085849627852,2,2,2,1,"D S","Lille",0,0.0330493310466409,1.87330295983702,1.67916779220104,2020
8635,"Sven Botman",37,3311,0,0.806439938023686,0,0.252040585502982,16,5,2,0,"D","Lille",0,0.806439938023686,7.07379005290568,6.94416233710945,2020
3423,"Kylian Mbappe-Lottin",31,2392,27,22.8545653708279,7,5.38412855379283,103,33,5,0,"F M S","Paris Saint Germain",21,18.2941257841885,32.0280404537916,10.3981786761433,2020
1304,"Moise Kean",26,1723,13,10.8033355847001,0,0.955935349687934,52,7,4,0,"F M S","Paris Saint Germain",13,10.8033355847001,13.3829367570579,3.09621495753527,2020
