"player_id","player_name","games","time","goals","xG","assists","xA","shots","key_passes","yellow_cards","red_cards","position","team_name","npg","npxG","xGChain","xGBuildup","year"
6208,"Antonin Barak",34,2772,7,6.93989943806082,3,2.32767061097547,45,25,5,1,"M S","Verona",7,6.93989943806082,14.4798213979229,8.0495403688401,2020
1958,"Mattia Zaccagni",36,2656,6,4.10516842640936,5,5.83998206444085,31,38,6,0,"F M S","Verona",5,3.34390952624381,15.2481016032398,8.21599278785288,2020
1324,"Federico Dimarco",35,2615,5,2.55492410622537,3,7.5022068573162,37,74,6,0,"D S","Verona",5,2.55492410622537,12.5826400984079,8.5894934348762,2020
3978,"Marco Faraoni",34,2902,4,3.49733464978635,7,4.37406969815493,34,22,8,0,"D S","Verona",4,3.49733464978635,11.3013570643961,6.56854895502329,2020
1106,"Darko Lazovic",32,2504,3,3.14889249578118,6,5.40070348419249,33,34,3,0,"D M S","Verona",3,3.14889249578118,13.2903568800539,7.49954552110285,2020
1098,"Miguel Veloso",21,1312,2,1.78297900594771,2,0.626957942731678,12,11,1,0,"M S","Verona",0,0.260381374508142,5.07194546982646,4.50893322937191,2020
1425,"Nikola Kalinic",19,1077,2,4.22212442755699,0,0.437677083536983,24,9,2,0,"F S","Verona",2,4.22212442755699,6.13359467685223,1.94576050341129,2020
1903,"Kevin Lasagna",19,1268,2,3.46663741767406,0,2.29272064939141,30,14,0,0,"F M S","Verona",2,3.46663741767406,6.27957855910063,1.23401669692248,2020
1997,"Andrea Favilli",11,330,2,1.8720828294754,0,0.112031236290932,13,2,1,0,"F S","Verona",2,1.8720828294754,2.83435915410519,0.951764911413193,2020
6203,"Eddie Salcedo",21,746,2,3.78155140578747,0,0.352081064134836,22,5,3,0,"F M S","Verona",2,3.78155140578747,3.89038910157979,0.747413041070104,2020
8828,"Ivan Ilic",29,1826,2,1.87468831147999,0,0.543730290606618,12,16,2,0,"M S","Verona",2,1.87468831147999,9.12427595444024,7.17551909573376,2020
5996,"Adrien Tameze",33,2334,1,1.40052754059434,0,1.33124952949584,18,12,6,0,"F M S","Verona",1,1.40052754059434,6.44477857137099,4.35573456855491,2020
8161,"Ebrima Colley",23,709,1,2.25590790994465,0,0.659930691123009,17,8,1,0,"F M S","Verona",1,2.25590790994465,4.45298798382282,2.38043569400907,2020
